Activity1,Activity2,index,It helps to get points in,Required for,Perfect substitute for ,Required to max point in 
FIP (370),Flood Hazard Mapping (410),0,,,,
FIP (370),Open Space Preservation (420),0,,,,
FIP (370),Higher Regulatory Standards (430),0,,,,
FIP (370),Flood Data Maintenance (440),0,,,,
FIP (370),Stormwater Management (450),0,,,,
FIP (370),Floodplain Management Planning (510),0,,,,
FIP (370),Acquisition and Relocation (520),0,,,,
FIP (370),Flood Protection (530),0,,,,
FIP (370),Drainage System Maintenance (540),0,,,,
FIP (370),Flood Warning and Response (610),1,,,,
FIP (370),Levees (620),1,,,,
FIP (370),Dams (630),1,,,,
FHM (410),Elevation Certificates (310),0,,,,
FHM (410),Map Information Service (320),0,,,,
FHM (410),Outreach Projects (330),1,,,,
FHM (410),Hazard Disclosure (340),0,,,,
FHM (410),Flood Protection Information (350),0,,,,
FHM (410),Flood Protection Assistance (360),0,,,,
FHM (410),Flood Insurance Promotion (370),0,,,,
FHM (410),Flood Hazard Mapping (410),0,,,,
FHM (410),Open Space Preservation (420),1,,,,
FHM (410),Higher Regulatory Standards (430),1,,,,
FHM (410),Flood Data Maintenance (440),1,,,,
FHM (410),Stormwater Management (450),1,,,,
FHM (410),Floodplain Management Planning (510),0,,,,
FHM (410),Acquisition and Relocation (520),0,,,,
FHM (410),Flood Protection (530),1,,,,
FHM (410),Drainage System Maintenance (540),0,,,,
FHM (410),Flood Warning and Response (610),1,,,,
FHM (410),Levees (620),0,,,,
FHM (410),Dams (630),0,,,,
OSP (420),Elevation Certificates (310),0,,,,
OSP (420),Map Information Service (320),1,,,,
OSP (420),Outreach Projects (330),0,,,,
OSP (420),Hazard Disclosure (340),0,,,,
OSP (420),Flood Protection Information (350),0,,,,
OSP (420),Flood Protection Assistance (360),0,,,,
OSP (420),Flood Insurance Promotion (370),0,,,,
OSP (420),Flood Hazard Mapping (410),1,,,,
OSP (420),Open Space Preservation (420),0,,,,
OSP (420),Higher Regulatory Standards (430),1,,,,
OSP (420),Flood Data Maintenance (440),1,,,,
OSP (420),Stormwater Management (450),0,,,,
OSP (420),Floodplain Management Planning (510),0,,,,
OSP (420),Acquisition and Relocation (520),1,,,,
OSP (420),Flood Protection (530),0,,,,
OSP (420),Drainage System Maintenance (540),0,,,,
OSP (420),Flood Warning and Response (610),0,,,,
OSP (420),Levees (620),0,,,,
OSP (420),Dams (630),0,,,,
